locale,page,json_file,key,required_value_from_ca7b5327,current_status,used_in_code,code_location,verified_commit
ar,/ar/purchase/cancelled/,ar/home.json,body.purchase.cancelled.eyebrow,لم يتم خصم أي مبلغ,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx:28,ca7b5327
ar,/ar/purchase/cancelled/,ar/home.json,body.purchase.cancelled.lede,لم يتم خصم أي رسوم. يمكنك المحاولة مرة أخرى في أي وقت.,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx:30,ca7b5327
ar,/ar/purchase/cancelled/,ar/home.json,body.purchase.cancelled.metaTitle,تم إلغاء الدفع,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx:17,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.checkout.consent,أوافق على التسليم الفوري لهذا الملف الرقمي وأدرك أنه بمجرد بدء الوصول، تكون عملية البيع نهائية وغير قابلة للاسترداد إلا في الحالات التي يقتضيها القانون أو إذا لم يتم تسليم الملف أو كان معيباً.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:50,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.checkout.error,حدث خطأ ما أثناء بدء الدفع. يرجى المحاولة مرة أخرى.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:57,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.checkout.opening,جارٍ فتح صفحة الدفع...,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:54,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.checkout.refundPolicy,اقرأ سياسة الاسترداد,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:50,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.checkout.secureNote,الدفع الآمن بواسطة Stripe. دفعة واحدة. بدون اشتراك.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:56,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.download.button,نزّل حزمة الألغاز الخاصة بك,MISSING_KEY,YES,"generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:66,76",ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.download.demoText,تعرض شاشة النجاح الحقيقية للدفع المدفوع زر تنزيل ملف PDF هنا. لا يقوم العرض التجريبي المحلي بإطلاق الملف الخاص.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:65,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.download.demoTitle,اجتاز اختبار الدفع المحلي.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:64,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.download.expires,تنتهي صلاحية هذا الرابط خلال 24 ساعة. احفظ التنزيل في مكان آمن.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:79,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.download.failed,لم نتمكن من تأكيد عملية الشراء بعد. إذا تم خصم المبلغ، يرجى تحديث هذه الصفحة بعد دقيقة أو التواصل معنا للمساعدة.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:92,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.download.preparing,جارٍ تجهيز التنزيل الخاص بك...,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:102,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.benefits.classroomUse,للاستخدام في المنزل أو في فصل دراسي واحد,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.benefits.instantAccess,وصول فوري بعد نجاح الدفع,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.benefits.kidFriendly,ألغاز مناسبة للأطفال بمستويات صعوبة متنوعة,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.benefits.onePdf,ملف PDF واحد مناسب وجاهز للطباعة,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.benefits.paperSizes,يعمل على ورق US Letter و A4,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.buyButton,احصل على حزمة الألغاز,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:60,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.coverAlt,أفضل ما في 2026 - غلاف كتاب 25 لغز نقطة إلى نقطة,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:45; generator/Ui-app-DB-json/components/BestOf2026BookAd.tsx:12,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.detailsEyebrow,مصمم للطباعة واللعب بسهولة,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:66,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.detailsText,حمّل مرة واحدة، احتفظ به في متناول يدك، واطبع الأنشطة التي تريدها متى شئت.,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:68,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.digitalPdf,ملف PDF رقمي,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:36,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.eyebrow,مجموعة طباعة مميزة,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:32,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.guaranteeText,بعد إتمام الدفع، يظهر رابط التنزيل الخاص بك فوراً. بدون اشتراك وبدون تجديد مفاجئ.,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:76,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.instantAccess,وصول فوري,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:38,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.lede,تجمع مجموعة أفضل ما في 2026 أنشطة توصيل النقاط المفضلة لدينا في حزمة واحدة سهلة الطباعة لوقت الهدوء والأيام الممطرة والتعليم المنزلي والفصول الدراسية.,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:34,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.localNote,على المضيف المحلي، يفتح هذا عرضاً تجريبياً آمناً للدفع ولا يخصم أي مبلغ من البطاقة أبداً.,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:61,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.metaDescription,مجموعة جاهزة للطباعة من أفضل ألغاز نقطة إلى نقطة للأطفال، مجمّعة في ملف PDF واحد مناسب.,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:18,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.metaTitle,أفضل مجموعة ألغاز نقطة إلى نقطة المميزة لعام 2026,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:18,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.oneTime,دفعة واحدة,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:56,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.printAtHome,اطبع في المنزل,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:37,ca7b5327
ar,/ar/premium/,ar/home.json,body.purchase.premium.purchaseAria,شراء حزمة ألغاز أفضل ما في 2026,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:41,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.shared.contactUs,تواصل معنا,MISSING_KEY,YES,"generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:82,95",ca7b5327
ar,/ar/purchase/success/; /ar/purchase/cancelled/,ar/home.json,body.purchase.shared.returnToPack,العودة إلى حزمة الألغاز,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:67; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx:31,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.success.eyebrow,تم تأكيد الدفع,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/success/page.tsx:30,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.success.lede,تمت عملية الدفع بنجاح. قد يستغرق ظهور عملية الشراء في حسابك بضع ثوانٍ.,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/success/page.tsx:32,ca7b5327
ar,/ar/purchase/success/,ar/home.json,body.purchase.success.metaTitle,شكراً على شرائك,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/success/page.tsx:19,ca7b5327
az,/az/purchase/cancelled/,az/home.json,body.purchase.cancelled.eyebrow,Ödəniş alınmadı,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx:28,ca7b5327
az,/az/purchase/cancelled/,az/home.json,body.purchase.cancelled.lede,Heç bir ödəniş edilmədi. İstənilən vaxt yenidən cəhd edə bilərsiniz.,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx:30,ca7b5327
az,/az/purchase/cancelled/,az/home.json,body.purchase.cancelled.metaTitle,Ödəniş ləğv edildi,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx:17,ca7b5327
az,/az/premium/,az/home.json,body.purchase.checkout.consent,Bu rəqəmsal PDF-in dərhal çatdırılmasına razıyam və girişin başlamasından sonra satışın qanunla tələb olunmadıqca və ya fayl çatdırılmadıqda və ya qüsurlu olduqda son və geri qaytarılmaz olduğunu anlayıram.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:50,ca7b5327
az,/az/premium/,az/home.json,body.purchase.checkout.error,Ödəniş başladılarkən xəta baş verdi. Yenidən cəhd edin.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:57,ca7b5327
az,/az/premium/,az/home.json,body.purchase.checkout.opening,Ödəniş açılır...,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:54,ca7b5327
az,/az/premium/,az/home.json,body.purchase.checkout.refundPolicy,Geri qaytarma siyasətini oxu,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:50,ca7b5327
az,/az/premium/,az/home.json,body.purchase.checkout.secureNote,Stripe tərəfindən təmin edilən təhlükəsiz ödəniş. Birdəfəlik ödəniş. Abunəlik yoxdur.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx:56,ca7b5327
az,/az/purchase/success/,az/home.json,body.purchase.download.button,Tapmaca paketinizi endirin,MISSING_KEY,YES,"generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:66,76",ca7b5327
az,/az/purchase/success/,az/home.json,body.purchase.download.demoText,Əsl ödənişli uğur ekranı burada PDF endirmə düyməsini göstərir. Yerli demo şəxsi faylı buraxmır.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:65,ca7b5327
az,/az/purchase/success/,az/home.json,body.purchase.download.demoTitle,Yerli ödəniş testi keçdi.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:64,ca7b5327
az,/az/purchase/success/,az/home.json,body.purchase.download.expires,Bu link 24 saatdan sonra bitir. Endirdiyinizi təhlükəsiz yerdə saxlayın.,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:79,ca7b5327
az,/az/purchase/success/,az/home.json,body.purchase.download.failed,"Alışınızı hələ təsdiqləyə bilmədik. Əgər ödəniş edilibsə, bir dəqiqədən sonra bu səhifəni yeniləyin və ya kömək üçün bizimlə əlaqə saxlayın.",MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:92,ca7b5327
az,/az/purchase/success/,az/home.json,body.purchase.download.preparing,Endirməniz hazırlanır...,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx:102,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.benefits.classroomUse,Evdə və ya bir sinifdə istifadə üçün,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.benefits.instantAccess,Uğurlu ödənişdən sonra ani giriş,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.benefits.kidFriendly,Müxtəlif çətinlik dərəcəli uşaq dostu tapmacalar,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.benefits.onePdf,"Bir rahat, çapa hazır PDF",MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.benefits.paperSizes,US Letter və A4 kağızlarında işləyir,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:71,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.buyButton,Tapmaca paketini əldə et,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:60,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.coverAlt,2026-nın ən yaxşısı - 25 Nöqtədən Nöqtəyə Tapmaca kitab üzlüyü,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:45; generator/Ui-app-DB-json/components/BestOf2026BookAd.tsx:12,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.detailsEyebrow,Asan çap-və-oyna üçün hazırlanıb,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:66,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.detailsText,"Bir dəfə yüklə, əldə saxla və istədiyin fəaliyyətləri istədiyin zaman çap et.",MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:68,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.digitalPdf,Rəqəmsal PDF,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:36,ca7b5327
az,/az/premium/,az/home.json,body.purchase.premium.eyebrow,Premium çap kolleksiyası,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx:32,ca7b5327
