locale,file,key,pattern,status,used_in_code,code_location,previous_value
ar,home.json,body.purchase.premium.metaTitle,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,أفضل مجموعة ألغاز نقطة إلى نقطة المميزة لعام 2026
ar,home.json,body.purchase.premium.metaDescription,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,مجموعة جاهزة للطباعة من أفضل ألغاز نقطة إلى نقطة للأطفال، مجمّعة في ملف PDF واحد مناسب.
ar,home.json,body.purchase.premium.eyebrow,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,مجموعة طباعة مميزة
ar,home.json,body.purchase.premium.lede,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,تجمع مجموعة أفضل ما في 2026 أنشطة توصيل النقاط المفضلة لدينا في حزمة واحدة سهلة الطباعة لوقت الهدوء والأيام الممطرة والتعليم المنزلي والفصول الدراسية.
ar,home.json,body.purchase.premium.digitalPdf,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,ملف PDF رقمي
ar,home.json,body.purchase.premium.printAtHome,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,اطبع في المنزل
ar,home.json,body.purchase.premium.instantAccess,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,وصول فوري
ar,home.json,body.purchase.premium.purchaseAria,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,شراء حزمة ألغاز أفضل ما في 2026
ar,home.json,body.purchase.premium.coverAlt,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/components/BestOf2026BookAd.tsx,أفضل ما في 2026 - غلاف كتاب 25 لغز نقطة إلى نقطة
ar,home.json,body.purchase.premium.oneTime,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,دفعة واحدة
ar,home.json,body.purchase.premium.buyButton,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,احصل على حزمة الألغاز
ar,home.json,body.purchase.premium.localNote,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,على المضيف المحلي، يفتح هذا عرضاً تجريبياً آمناً للدفع ولا يخصم أي مبلغ من البطاقة أبداً.
ar,home.json,body.purchase.premium.detailsEyebrow,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,مصمم للطباعة واللعب بسهولة
ar,home.json,body.purchase.premium.detailsText,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,حمّل مرة واحدة، احتفظ به في متناول يدك، واطبع الأنشطة التي تريدها متى شئت.
